X,Y,Z,Name
116.4156602,40.0672449,0,点1
116.4158763,40.0661501,0,点2
116.4161223,40.0650082,0,点3 
116.4151951,40.0653933,0,点4
116.4144119,40.0664459,0,点5
116.411652,40.0656104,0,点6
116.4125962,40.0665731,0,点7
116.4118902,40.067209,0,点8
116.4106992,40.066683,0,点9
116.4106807,40.0649954,0,点10
116.4096251,40.0650956,0,点11
116.4097761,40.0674483,0,点12
116.4082137,40.0668868,0,点13
116.408592,40.0656442,0,点14
116.4077322,40.0655149,0,点15
116.4064482,40.0653167,0,点16
116.4085534,40.063809,0,点17
116.4077515,40.0632199,0,点18
116.4086829,40.0628323,0,点19
116.4068564,40.0632818,0,点20
116.4067606,40.0620435,0,点21
116.4148639,40.0644829,0,点22
116.415572,40.0638342,0,点23
116.4147244,40.0633333,0,点24
116.4162908,40.0620195,0,点25
116.4145849,40.0621016,0,点26
116.4066089,40.0662486,0,点27
116.4067591,40.0644093,0,点28
116.4117373,40.0641137,0,点29
116.4118339,40.0627178,0,点30
116.4124991,40.0621595,0,点31
116.410761,40.0620938,0,点32
116.4126814,40.0613794,0,点33
116.4098598,40.0625865,0,点34
116.4111968,40.0599185,0,点35
116.4127954,40.0590316,0,点36
116.4181384,40.067365,0,点37
116.4189538,40.0664946,0,点38
116.4200052,40.0655258,0,点39
116.4196404,40.0642284,0,点40
116.4204558,40.0628325,0,点41
116.4189538,40.0623727,0,点42
116.4185246,40.0611246,0,点43
116.4182457,40.0598929,0,点44
116.4155206,40.0608947,0,点45
116.4184817,40.064212,0,点46
116.4201983,40.0671515,0,点47
116.422151,40.0667081,0,点48
116.4241465,40.0666917,0,点49
116.4239963,40.0639657,0,点50
116.4221295,40.0644912,0,点51
116.4222583,40.0658378,0,点52
116.4235457,40.063046,0,点53
116.4258846,40.0664946,0,点54
116.4273437,40.0657393,0,点55
116.4099845,40.0639657,0,点56
116.4112505,40.0588911,0,点57
116.4070716,40.0675251,0,点58
116.4272633,40.0666383,0,点59
116.4272418,40.0646841,0,点60
116.4257398,40.0636742,0,点61
116.4255037,40.0626067,0,点62
116.427156,40.0635757,0,点63
116.4246669,40.0622619,0,点64
116.422607,40.0624754,0,点65
116.4224782,40.0610794,0,点66
116.4176073,40.0640191,0,点67
116.4176288,40.0660061,0,点68
116.4237442,40.0684036,0,点69
116.4240446,40.0695859,0,点70
116.4223924,40.0684365,0,点71
116.4225211,40.0697173,0,点72
116.4241519,40.0705219,0,点73
116.4243879,40.0659568,0,点74
116.4209333,40.0598806,0,点75
116.4200535,40.0591908,0,点76
116.4249888,40.0614407,0,点77
116.4097753,40.0598241,0,点78
116.4210835,40.0591179,0,点79
116.4245167,40.0606781,0,点80
116.41853,40.059085,0,点81
116.4175215,40.0577547,0,点82
116.415247,40.0571306,0,点83
116.4193668,40.0571963,0,点84
116.4187446,40.0566872,0,点85
116.4173713,40.0561616,0,点86
116.4238515,40.0592164,0,点87
116.4085951,40.0604482,0,点88
116.4118137,40.0573441,0,点89
116.41014,40.0576233,0,点90
116.4153742,40.068387,0,点91
