lon,lat
116.4156602,40.0672449
116.4158763,40.0661501
116.4161223,40.0650082
116.4151951,40.0653933
116.4144119,40.0664459
116.411652,40.0656104
116.4125962,40.0665731
116.4118902,40.067209
116.4106992,40.066683
116.4106807,40.0649954
116.4096251,40.0650956
116.4097761,40.0674483
116.4082137,40.0668868
116.408592,40.0656442
116.4077322,40.0655149
116.4064482,40.0653167
116.4085534,40.063809
116.4077515,40.0632199
116.4086829,40.0628323
116.4068564,40.0632818
116.4067606,40.0620435
116.4148639,40.0644829
116.415572,40.0638342
116.4147244,40.0633333
116.4162908,40.0620195
116.4145849,40.0621016
116.4066089,40.0662486
116.4067591,40.0644093
116.4117373,40.0641137
116.4118339,40.0627178
116.4124991,40.0621595
116.410761,40.0620938
116.4126814,40.0613794
116.4098598,40.0625865
116.4111968,40.0599185
116.4127954,40.0590316
116.4181384,40.067365
116.4189538,40.0664946
116.4200052,40.0655258
116.4196404,40.0642284
116.4204558,40.0628325
116.4189538,40.0623727
116.4185246,40.0611246
116.4182457,40.0598929
116.4155206,40.0608947
116.4184817,40.064212
116.4201983,40.0671515
116.422151,40.0667081
116.4241465,40.0666917
116.4239963,40.0639657
116.4221295,40.0644912
116.4222583,40.0658378
116.4235457,40.063046
116.4258846,40.0664946
116.4273437,40.0657393
116.4099845,40.0639657
116.4112505,40.0588911
116.4070716,40.0675251
116.4272633,40.0666383
116.4272418,40.0646841
116.4257398,40.0636742
116.4255037,40.0626067
116.427156,40.0635757
116.4246669,40.0622619
116.422607,40.0624754
116.4224782,40.0610794
116.4176073,40.0640191
116.4176288,40.0660061
116.4237442,40.0684036
116.4240446,40.0695859
116.4223924,40.0684365
116.4225211,40.0697173
116.4241519,40.0705219
116.4243879,40.0659568
116.4209333,40.0598806
116.4200535,40.0591908
116.4249888,40.0614407
116.4097753,40.0598241
116.4210835,40.0591179
116.4245167,40.0606781
116.41853,40.059085
116.4175215,40.0577547
116.415247,40.0571306
116.4193668,40.0571963
116.4187446,40.0566872
116.4173713,40.0561616
116.4238515,40.0592164
116.4085951,40.0604482
116.4118137,40.0573441
116.41014,40.0576233
116.4153742,40.068387
116.4136147,40.0684199
116.4149879,40.0696514
116.4141726,40.0703904
116.4140438,40.0696186
116.4105891,40.056842
116.4129495,40.0565464
116.4066838,40.0598968
116.4081859,40.068387
116.4115118,40.0687647
116.407585,40.0695858
116.4111899,40.0703904
116.4065336,40.0692738
116.4067911,40.0712278
116.4100527,40.0713756
116.4084219,40.0726235
116.4064049,40.0726071
116.4104818,40.0727482
116.4113187,40.0721243
116.4072739,40.0592907
116.407982,40.0587652
116.4066731,40.0584367
116.4098488,40.0697351
116.4175736,40.0703098
116.4174019,40.0693574
116.418904,40.0703591
116.418904,40.0694888
116.4204918,40.0704083
116.4205777,40.0695873
116.4112865,40.0698829
116.4151274,40.0729535
116.4143764,40.0721653
116.4157926,40.0715578
116.4175521,40.0730027
116.417638,40.0719518
116.4189469,40.0728221
116.4189254,40.0718369
116.4272295,40.0689469
116.415342,40.0752194
116.4166724,40.0749895
116.4187323,40.0751209
116.4202343,40.0750552
116.4202343,40.0768941
116.4185505,40.0771512
116.4178853,40.0762482
116.4152889,40.0769706
116.4167909,40.0783169
116.4201598,40.0789737
116.4153533,40.0782184
116.4229708,40.073621
116.424387,40.0737688
116.424387,40.0729807
116.4220266,40.0723567
116.4266186,40.0738017
116.4275627,40.0734076
116.4257173,40.0727836
116.4273481,40.0725537
116.4275627,40.0715685
116.4291935,40.0728821
116.4311676,40.0726851
116.4306526,40.0716014
116.4239578,40.0759362
116.4259319,40.0764288
116.4260177,40.0753779
116.4220266,40.0765273
116.4222412,40.0751809
116.4295797,40.0755093
116.4305668,40.0772169
116.4324121,40.0762646
116.4320259,40.0755093
116.4306526,40.0752137
116.4328842,40.0782677
116.4298801,40.0789901
116.4275627,40.0761004
116.4259748,40.0783334
116.4230995,40.0778408
116.424387,40.0790886
116.4117698,40.0752466
116.4118128,40.0769213
116.4072208,40.0774796
116.4102249,40.0770855
116.4100532,40.0762317
116.4085941,40.0770855
116.4084224,40.0763631
116.4072208,40.0763631
116.4070062,40.0791215
116.4332275,40.0777094
116.4348583,40.0774467
116.4361458,40.0770199
116.4345579,40.0760675
116.4294939,40.0748197
116.4333992,40.0748854
116.4378624,40.0772826
116.4369182,40.0787602
116.4357166,40.0762317
116.4342146,40.0741957
116.436017,40.0754765
116.4308672,40.0693682
116.4307813,40.0684158
116.430438,40.0676276
116.4302234,40.0670692
116.4322834,40.0680545
116.4335708,40.0676604
116.4330988,40.0670035
116.4317684,40.0665437
116.4339142,40.0654928
116.4310388,40.0653614
116.4325409,40.0646717
116.4292364,40.0646388
116.4306526,40.0642119
